priority,APN,COUNTY,Issue_Category,Num_Years_Lost,Total_Units_CSV,Years_Lost,Years_In_FC,spatial_parent_apns,match_types,Suggested_Action
HIGH: UNKNOWN + no genealogy,1319-30-614-004,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-614-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-614-006,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-614-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-614-007,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-614-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-614-008,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-614-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-615-001,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-615-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-615-002,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-615-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-615-003,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-615-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-615-004,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-615-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-615-005,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-615-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
HIGH: UNKNOWN + no genealogy,1319-30-615-006,DG,UNKNOWN,5,5,"[2012, 2013, 2014, 2015, 2016]","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",1319-30-615-000,intersect,APN appears in FC for some years but unit value is 0 for listed years. Manual investigation required.
