ChangeEventID,RawAPN,CanonicalAPN,CommodityShortName,Year,PreviousQuantity,NewQuantity,Quantity_Delta,ChangeSource,Rationale,EvidenceURL,RecordedBy,RecordedAt,ReconciliationNote,LoadedAt
374,023-840-06,023-840-006,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
375,023-840-07,023-840-007,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
376,023-840-08,023-840-008,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
377,023-840-09,023-840-009,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
378,023-840-10,023-840-010,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
380,023-840-12,023-840-012,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
381,023-840-13,023-840-013,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
382,023-840-14,023-840-014,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
383,023-840-15,023-840-015,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
384,023-840-16,023-840-016,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
385,023-840-17,023-840-017,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
386,023-840-18,023-840-018,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
387,023-840-19,023-840-019,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
388,023-840-20,023-840-020,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
389,023-840-21,023-840-021,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
390,023-840-22,023-840-022,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
391,023-840-23,023-840-023,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
392,023-840-24,023-840-024,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
393,023-840-25,023-840-025,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
394,023-840-26,023-840-026,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
395,023-840-27,023-840-027,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
396,023-840-28,023-840-028,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
397,023-840-29,023-840-029,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
398,023-840-30,023-840-030,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
399,023-840-31,023-840-031,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 31 units are counted under 023-181-46,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
400,023-850-01,023-850-001,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
401,023-850-02,023-850-002,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
402,023-850-03,023-850-003,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
404,023-850-05,023-850-005,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
405,023-850-06,023-850-006,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
406,023-850-07,023-850-007,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
407,023-850-08,023-850-008,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
408,023-850-09,023-850-009,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
409,023-850-10,023-850-010,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
410,023-850-11,023-850-011,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
411,023-850-12,023-850-012,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
412,023-850-13,023-850-013,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
413,023-850-14,023-850-014,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
414,023-850-15,023-850-015,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
415,023-850-16,023-850-016,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
416,023-850-17,023-850-017,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
417,023-850-18,023-850-018,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
418,023-850-19,023-850-019,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
419,023-850-20,023-850-020,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
420,023-850-21,023-850-021,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
421,023-850-22,023-850-022,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
422,023-850-23,023-850-023,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
423,023-850-24,023-850-024,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Mobile Home Park - 30 units are counted under 023-221-39,,Ken,2026-05-04T07:57:36.418395+00:00,no_matching_s06_finding,2026-05-04T07:58:01.611894+00:00
