CSV_APN,FC_APN,Year,Match_Type,APN_Changed
1319-30-624-002,1319-30-624-000,2012,intersect,True
1319-30-624-001,1319-30-624-000,2012,intersect,True
1319-30-625-004,1319-30-625-000,2012,intersect,True
1319-30-626-002,1319-30-626-000,2012,intersect,True
1319-30-626-004,1319-30-626-000,2012,intersect,True
123-293-05,123-071-34,2012,intersect,True
123-293-06,123-071-34,2012,intersect,True
123-294-01,123-071-34,2012,intersect,True
123-294-05,123-071-34,2012,intersect,True
123-294-06,123-071-34,2012,intersect,True
123-295-06,123-071-34,2012,intersect,True
1319-30-710-001,1319-30-710-017,2012,intersect,True
1319-30-621-006,1319-30-621-003,2012,intersect,True
1319-30-617-009,1319-30-617-004,2012,intersect,True
1319-30-617-003,1319-30-617-004,2012,intersect,True
1319-30-617-007,1319-30-617-000,2012,intersect,True
1318-23-315-022,1318-23-301-001,2012,intersect,True
1318-23-315-024,1318-23-301-001,2012,intersect,True
1318-23-315-009,1318-23-301-001,2012,intersect,True
1318-23-315-014,1318-23-301-001,2012,intersect,True
1318-23-315-017,1318-23-301-001,2012,intersect,True
1318-23-315-026,1318-23-301-001,2012,intersect,True
1318-23-315-038,1318-23-301-001,2012,intersect,True
1318-23-315-003,1318-23-301-001,2012,intersect,True
1318-23-315-020,1318-23-301-001,2012,intersect,True
1318-23-315-035,1318-23-301-001,2012,intersect,True
026-139-45,026-139-23,2012,intersect,True
027-313-16,027-313-02,2012,intersect,True
029-710-006,029-441-21,2012,intersect,True
029-710-007,029-441-21,2012,intersect,True
029-710-002,029-441-21,2012,intersect,True
029-710-020,029-441-21,2012,intersect,True
029-710-013,029-441-15,2012,intersect,True
029-710-014,029-441-15,2012,intersect,True
028-340-004,028-011-19,2012,intersect,True
028-340-015,028-011-19,2012,intersect,True
028-340-006,028-011-19,2012,intersect,True
028-340-018,028-011-19,2012,intersect,True
028-340-010,028-011-19,2012,intersect,True
028-340-023,028-011-19,2012,intersect,True
098-360-003,098-210-031,2012,intersect,True
098-360-004,098-210-031,2012,intersect,True
098-360-001,098-210-030,2012,intersect,True
090-152-059,090-152-046,2012,intersect,True
090-152-060,090-152-046,2012,intersect,True
098-360-005,098-210-030,2012,intersect,True
123-131-10,123-131-05,2012,intersect,True
1318-22-311-002,1318-22-002-002,2012,intersect,True
1318-22-311-003,1318-22-002-002,2012,intersect,True
1318-22-311-005,1318-22-002-002,2012,intersect,True
1318-22-311-006,1318-22-002-002,2012,intersect,True
1318-22-311-007,1318-22-002-002,2012,intersect,True
1318-22-311-009,1318-22-002-002,2012,intersect,True
1318-22-311-017,1318-22-002-002,2012,intersect,True
1318-22-311-013,1318-22-002-002,2012,intersect,True
1318-22-311-023,1318-22-002-002,2012,intersect,True
1318-22-312-009,1318-22-002-002,2012,intersect,True
1318-22-312-014,1318-22-002-002,2012,intersect,True
1318-22-312-017,1318-22-002-002,2012,intersect,True
1318-22-312-006,1318-22-002-002,2012,intersect,True
1318-22-312-011,1318-22-002-002,2012,intersect,True
1318-22-312-008,1318-22-002-002,2012,intersect,True
1318-22-312-013,1318-22-002-002,2012,intersect,True
117-150-045,117-150-040,2012,intersect,True
117-150-043,117-150-040,2012,intersect,True
117-150-041,117-150-040,2012,intersect,True
025-735-11,025-735-05,2012,intersect,True
123-131-09,123-131-06,2012,intersect,True
1318-22-312-019,1318-22-002-002,2012,intersect,True
1318-15-410-021,1318-15-410-005,2012,intersect,True
027-621-15,027-631-12,2012,intersect,True
090-191-050,090-191-008,2012,intersect,True
090-191-052,090-191-008,2012,intersect,True
090-191-049,090-191-008,2012,intersect,True
033-441-029,033-441-06,2012,intersect,True
023-960-003,023-182-28,2012,intersect,True
023-960-005,023-182-28,2012,intersect,True
023-960-007,023-182-28,2012,intersect,True
1318-22-313-001,1318-22-002-002,2012,intersect,True
1318-22-314-005,1318-22-002-002,2012,intersect,True
1318-22-315-002,1318-22-002-002,2012,intersect,True
1318-22-315-003,1318-22-002-002,2012,intersect,True
1318-22-315-004,1318-22-002-002,2012,intersect,True
1318-22-316-005,1318-22-002-002,2012,intersect,True
1318-22-317-008,1318-22-002-002,2012,intersect,True
1318-22-313-003,1318-22-002-002,2012,intersect,True
1318-22-313-004,1318-22-002-002,2012,intersect,True
1318-22-313-006,1318-22-002-002,2012,intersect,True
1318-22-313-008,1318-22-002-002,2012,intersect,True
1318-22-314-007,1318-22-002-002,2012,intersect,True
1318-22-316-003,1318-22-002-002,2012,intersect,True
1318-22-316-008,1318-22-002-002,2012,intersect,True
1318-22-317-005,1318-22-002-002,2012,intersect,True
1318-22-317-007,1318-22-002-002,2012,intersect,True
1318-22-711-003,1318-22-002-002,2012,intersect,True
1318-22-711-008,1318-22-002-002,2012,intersect,True
016-091-050,016-091-50,2012,intersect,True
036-350-08,036-530-28,2012,intersect,True
117-230-004,117-230-008,2012,intersect,True
1318-09-810-116,1318-09-810-070,2012,intersect,True
1418-34-113-012,1418-34-101-001,2012,intersect,True
1418-34-113-011,1418-34-101-001,2012,intersect,True
1418-34-113-010,1418-34-101-001,2012,intersect,True
1319-19-715-004,1319-19-715-003,2012,intersect,True
090-072-036,090-072-026,2012,intersect,True
090-072-032,090-072-026,2012,intersect,True
090-072-033,090-072-026,2012,intersect,True
122-591-03,122-128-16,2012,intersect,True
129-292-34,129-292-14,2012,intersect,True
129-071-05,129-280-21,2012,intersect,True
129-071-08,129-290-01,2012,intersect,True
129-071-04,129-280-21,2012,intersect,True
1319-30-622-006,1319-30-622-008,2012,intersect,True
1319-30-622-009,1319-30-622-000,2012,intersect,True
1418-15-110-021,1418-15-110-016,2012,intersect,True
1319-30-514-003,1319-30-514-000,2012,intersect,True
1319-30-514-015,1319-30-514-000,2012,intersect,True
1319-30-514-017,1319-30-514-000,2012,intersect,True
1319-30-514-011,1319-30-514-000,2012,intersect,True
1319-30-514-012,1319-30-514-000,2012,intersect,True
1319-30-514-024,1319-30-514-000,2012,intersect,True
1319-19-213-004,1319-19-213-001,2012,intersect,True
1319-30-520-006,1319-30-520-017,2012,intersect,True
1319-30-520-007,1319-30-520-029,2012,intersect,True
1319-30-519-004,1319-30-519-020,2012,intersect,True
1319-30-519-005,1319-30-519-001,2012,intersect,True
1319-30-520-010,1319-30-520-032,2012,intersect,True
1319-30-520-023,1319-30-520-000,2012,intersect,True
1319-30-520-030,1319-30-520-000,2012,intersect,True
1319-30-522-001,1319-30-523-003,2012,intersect,True
1319-30-611-001,1319-30-611-000,2012,intersect,True
1319-30-611-002,1319-30-611-000,2012,intersect,True
1319-30-611-008,1319-30-611-000,2012,intersect,True
1319-30-614-008,1319-30-614-000,2012,intersect,True
1319-30-624-004,1319-30-624-000,2012,intersect,True
1319-30-625-001,1319-30-625-000,2012,intersect,True
