old_apn,new_apn,change_year,overlap_pct,change_type,is_primary,source
031-231-011,031-231-11,2021,,rename,1,ACCELA
031-223-009,031-223-09,2021,,rename,1,ACCELA
031-214-003,031-214-03,2021,,rename,1,ACCELA
031-223-008,031-223-08,2021,,rename,1,ACCELA
031-223-006,031-223-06,2021,,rename,1,ACCELA
031-215-008,031-215-08,2021,,rename,1,ACCELA
031-215-009,031-215-09,2021,,rename,1,ACCELA
031-215-010,031-215-10,2021,,rename,1,ACCELA
031-216-002,031-216-02,2021,,rename,1,ACCELA
031-216-003,031-216-03,2021,,rename,1,ACCELA
031-216-004,031-216-04,2021,,rename,1,ACCELA
031-215-007,031-215-07,2021,,rename,1,ACCELA
031-216-005,031-216-05,2021,,rename,1,ACCELA
031-216-007,031-216-07,2021,,rename,1,ACCELA
031-216-008,031-216-08,2021,,rename,1,ACCELA
031-216-009,031-216-09,2021,,rename,1,ACCELA
031-216-010,031-216-10,2021,,rename,1,ACCELA
031-216-011,031-216-11,2021,,rename,1,ACCELA
031-221-002,031-221-02,2021,,rename,1,ACCELA
031-216-006,031-216-06,2021,,rename,1,ACCELA
031-221-003,031-221-03,2021,,rename,1,ACCELA
031-215-006,031-215-06,2021,,rename,1,ACCELA
031-215-004,031-215-04,2021,,rename,1,ACCELA
031-214-005,031-214-05,2021,,rename,1,ACCELA
031-214-008,031-214-08,2021,,rename,1,ACCELA
031-214-011,031-214-11,2021,,rename,1,ACCELA
031-214-012,031-214-12,2021,,rename,1,ACCELA
031-214-013,031-214-13,2021,,rename,1,ACCELA
031-214-014,031-214-14,2021,,rename,1,ACCELA
031-215-005,031-215-05,2021,,rename,1,ACCELA
031-214-015,031-214-15,2021,,rename,1,ACCELA
031-214-017,031-214-17,2021,,rename,1,ACCELA
031-214-018,031-214-18,2021,,rename,1,ACCELA
031-214-019,031-214-19,2021,,rename,1,ACCELA
031-214-020,031-214-20,2021,,rename,1,ACCELA
031-215-002,031-215-02,2021,,rename,1,ACCELA
031-215-003,031-215-03,2021,,rename,1,ACCELA
031-214-016,031-214-16,2021,,rename,1,ACCELA
031-221-004,031-221-04,2021,,rename,1,ACCELA
031-221-005,031-221-05,2021,,rename,1,ACCELA
031-221-006,031-221-06,2021,,rename,1,ACCELA
031-222-008,031-222-08,2021,,rename,1,ACCELA
031-222-011,031-222-11,2021,,rename,1,ACCELA
031-222-012,031-222-12,2021,,rename,1,ACCELA
031-222-013,031-222-13,2021,,rename,1,ACCELA
031-222-014,031-222-14,2021,,rename,1,ACCELA
031-222-015,031-222-15,2021,,rename,1,ACCELA
031-222-007,031-222-07,2021,,rename,1,ACCELA
031-222-016,031-222-16,2021,,rename,1,ACCELA
031-222-019,031-222-19,2021,,rename,1,ACCELA
031-222-020,031-222-20,2021,,rename,1,ACCELA
031-223-002,031-223-02,2021,,rename,1,ACCELA
031-223-003,031-223-03,2021,,rename,1,ACCELA
031-223-004,031-223-04,2021,,rename,1,ACCELA
031-223-005,031-223-05,2021,,rename,1,ACCELA
031-222-017,031-222-17,2021,,rename,1,ACCELA
031-222-006,031-222-06,2021,,rename,1,ACCELA
031-222-005,031-222-05,2021,,rename,1,ACCELA
031-222-004,031-222-04,2021,,rename,1,ACCELA
031-221-007,031-221-07,2021,,rename,1,ACCELA
031-221-008,031-221-08,2021,,rename,1,ACCELA
031-221-009,031-221-09,2021,,rename,1,ACCELA
031-221-010,031-221-10,2021,,rename,1,ACCELA
031-221-011,031-221-11,2021,,rename,1,ACCELA
031-221-012,031-221-12,2021,,rename,1,ACCELA
031-221-013,031-221-13,2021,,rename,1,ACCELA
031-221-014,031-221-14,2021,,rename,1,ACCELA
031-221-015,031-221-15,2021,,rename,1,ACCELA
031-221-016,031-221-16,2021,,rename,1,ACCELA
031-221-017,031-221-17,2021,,rename,1,ACCELA
031-221-018,031-221-18,2021,,rename,1,ACCELA
031-221-019,031-221-19,2021,,rename,1,ACCELA
031-222-002,031-222-02,2021,,rename,1,ACCELA
031-222-003,031-222-03,2021,,rename,1,ACCELA
031-223-007,031-223-07,2021,,rename,1,ACCELA
031-233-002,031-233-02,2021,,rename,1,ACCELA
031-201-006,031-201-06,2021,,rename,1,ACCELA
031-201-004,031-201-04,2021,,rename,1,ACCELA
031-181-004,031-181-04,2021,,rename,1,ACCELA
031-181-005,031-181-05,2021,,rename,1,ACCELA
031-181-006,031-181-06,2021,,rename,1,ACCELA
031-181-007,031-181-07,2021,,rename,1,ACCELA
031-181-008,031-181-08,2021,,rename,1,ACCELA
031-181-009,031-181-09,2021,,rename,1,ACCELA
031-181-003,031-181-03,2021,,rename,1,ACCELA
031-181-010,031-181-10,2021,,rename,1,ACCELA
031-181-012,031-181-12,2021,,rename,1,ACCELA
031-181-013,031-181-13,2021,,rename,1,ACCELA
031-181-014,031-181-14,2021,,rename,1,ACCELA
031-181-015,031-181-15,2021,,rename,1,ACCELA
031-181-016,031-181-16,2021,,rename,1,ACCELA
031-182-001,031-182-01,2021,,rename,1,ACCELA
031-181-011,031-181-11,2021,,rename,1,ACCELA
031-182-002,031-182-02,2021,,rename,1,ACCELA
031-181-002,031-181-02,2021,,rename,1,ACCELA
031-174-021,031-174-21,2021,,rename,1,ACCELA
031-174-003,031-174-03,2021,,rename,1,ACCELA
031-174-004,031-174-04,2021,,rename,1,ACCELA
031-174-005,031-174-05,2021,,rename,1,ACCELA
031-174-006,031-174-06,2021,,rename,1,ACCELA
031-174-007,031-174-07,2021,,rename,1,ACCELA
031-174-008,031-174-08,2021,,rename,1,ACCELA
031-181-001,031-181-01,2021,,rename,1,ACCELA
031-174-009,031-174-09,2021,,rename,1,ACCELA
031-174-013,031-174-13,2021,,rename,1,ACCELA
031-174-014,031-174-14,2021,,rename,1,ACCELA
031-174-017,031-174-17,2021,,rename,1,ACCELA
031-174-018,031-174-18,2021,,rename,1,ACCELA
031-174-019,031-174-19,2021,,rename,1,ACCELA
031-174-020,031-174-20,2021,,rename,1,ACCELA
031-174-010,031-174-10,2021,,rename,1,ACCELA
031-182-003,031-182-03,2021,,rename,1,ACCELA
031-182-004,031-182-04,2021,,rename,1,ACCELA
031-182-005,031-182-05,2021,,rename,1,ACCELA
031-183-008,031-183-08,2021,,rename,1,ACCELA
031-183-009,031-183-09,2021,,rename,1,ACCELA
031-183-010,031-183-10,2021,,rename,1,ACCELA
031-183-011,031-183-11,2021,,rename,1,ACCELA
031-183-012,031-183-12,2021,,rename,1,ACCELA
031-183-013,031-183-13,2021,,rename,1,ACCELA
031-183-007,031-183-07,2021,,rename,1,ACCELA
031-183-014,031-183-14,2021,,rename,1,ACCELA
031-183-016,031-183-16,2021,,rename,1,ACCELA
031-183-017,031-183-17,2021,,rename,1,ACCELA
031-184-002,031-184-02,2021,,rename,1,ACCELA
031-184-003,031-184-03,2021,,rename,1,ACCELA
031-184-004,031-184-04,2021,,rename,1,ACCELA
031-184-005,031-184-05,2021,,rename,1,ACCELA
031-183-015,031-183-15,2021,,rename,1,ACCELA
031-183-006,031-183-06,2021,,rename,1,ACCELA
031-183-005,031-183-05,2021,,rename,1,ACCELA
031-183-004,031-183-04,2021,,rename,1,ACCELA
031-182-006,031-182-06,2021,,rename,1,ACCELA
031-182-007,031-182-07,2021,,rename,1,ACCELA
031-182-008,031-182-08,2021,,rename,1,ACCELA
031-182-009,031-182-09,2021,,rename,1,ACCELA
031-182-010,031-182-10,2021,,rename,1,ACCELA
031-182-011,031-182-11,2021,,rename,1,ACCELA
031-182-012,031-182-12,2021,,rename,1,ACCELA
031-182-013,031-182-13,2021,,rename,1,ACCELA
031-182-014,031-182-14,2021,,rename,1,ACCELA
031-182-015,031-182-15,2021,,rename,1,ACCELA
031-182-016,031-182-16,2021,,rename,1,ACCELA
031-182-017,031-182-17,2021,,rename,1,ACCELA
031-182-018,031-182-18,2021,,rename,1,ACCELA
031-183-002,031-183-02,2021,,rename,1,ACCELA
031-183-003,031-183-03,2021,,rename,1,ACCELA
031-174-002,031-174-02,2021,,rename,1,ACCELA
031-184-006,031-184-06,2021,,rename,1,ACCELA
031-174-001,031-174-01,2021,,rename,1,ACCELA
031-173-004,031-173-04,2021,,rename,1,ACCELA
031-165-009,031-165-09,2021,,rename,1,ACCELA
031-165-010,031-165-10,2021,,rename,1,ACCELA
031-165-011,031-165-11,2021,,rename,1,ACCELA
031-165-015,031-165-15,2021,,rename,1,ACCELA
031-165-016,031-165-16,2021,,rename,1,ACCELA
031-165-017,031-165-17,2021,,rename,1,ACCELA
031-165-008,031-165-08,2021,,rename,1,ACCELA
031-165-018,031-165-18,2021,,rename,1,ACCELA
031-165-023,031-165-23,2021,,rename,1,ACCELA
031-166-001,031-166-01,2021,,rename,1,ACCELA
031-166-002,031-166-02,2021,,rename,1,ACCELA
031-166-003,031-166-03,2021,,rename,1,ACCELA
031-166-004,031-166-04,2021,,rename,1,ACCELA
031-166-005,031-166-05,2021,,rename,1,ACCELA
031-165-019,031-165-19,2021,,rename,1,ACCELA
031-166-006,031-166-06,2021,,rename,1,ACCELA
031-165-007,031-165-07,2021,,rename,1,ACCELA
031-165-004,031-165-04,2021,,rename,1,ACCELA
031-164-010,031-164-10,2021,,rename,1,ACCELA
031-164-011,031-164-11,2021,,rename,1,ACCELA
