APN,YL,Units_CSV,Year,APN_fixed,FC_Units,COUNTY
1318-24-701-008,2018 Final,1.0,2018,1318-24-701-008,,
1318-25-110-010,2018 Final,1.0,2018,1318-25-110-010,,
1318-26-101-029,2018 Final,2.0,2018,1318-26-101-029,,
1318-26-601-006,2018 Final,1.0,2018,1318-26-601-006,,
1318-27-001-002,2018 Final,1.0,2018,1318-27-001-002,,
1318-27-001-003,2018 Final,1.0,2018,1318-27-001-003,,
1319-19-212-078,2018 Final,2.0,2018,1319-19-212-078,,
1319-19-710-031,2018 Final,1.0,2018,1319-19-710-031,,
1319-19-710-032,2018 Final,1.0,2018,1319-19-710-032,,
1418-03-301-002,2018 Final,1.0,2018,1418-03-301-002,,
1418-10-501-001,2018 Final,2.0,2018,1418-10-501-001,,
1418-10-702-006,2018 Final,1.0,2018,1418-10-702-006,,
1418-10-702-007,2018 Final,1.0,2018,1418-10-702-007,,
1418-10-802-008,2018 Final,8.0,2018,1418-10-802-008,,
1418-11-311-004,2018 Final,1.0,2018,1418-11-311-004,,
1418-15-201-001,2018 Final,2.0,2018,1418-15-201-001,,
1418-15-201-003,2018 Final,1.0,2018,1418-15-201-003,,
1418-15-601-001,2018 Final,1.0,2018,1418-15-601-001,,
1418-15-801-005,2018 Final,1.0,2018,1418-15-801-005,,
1418-22-611-027,2018 Final,1.0,2018,1418-22-611-027,,
1418-27-210-015,2018 Final,1.0,2018,1418-27-210-015,,
1418-27-210-029,2018 Final,1.0,2018,1418-27-210-029,,
1418-34-101-001,2018 Final,20.0,2018,1418-34-101-001,,
1418-34-110-003,2018 Final,1.0,2018,1418-34-110-003,,
1418-34-110-010,2018 Final,1.0,2018,1418-34-110-010,,
1418-34-110-020,2018 Final,1.0,2018,1418-34-110-020,,
1418-34-110-024,2018 Final,1.0,2018,1418-34-110-024,,
1418-34-110-039,2018 Final,1.0,2018,1418-34-110-039,,
1418-34-201-001,2018 Final,1.0,2018,1418-34-201-001,,
1418-34-201-004,2018 Final,1.0,2018,1418-34-201-004,,
1418-34-201-005,2018 Final,1.0,2018,1418-34-201-005,,
1418-34-201-006,2018 Final,1.0,2018,1418-34-201-006,,
1418-34-210-007,2018 Final,1.0,2018,1418-34-210-007,,
1418-34-211-026,2018 Final,1.0,2018,1418-34-211-026,,
1418-34-211-046,2018 Final,1.0,2018,1418-34-211-046,,
1418-34-401-009,2018 Final,2.0,2018,1418-34-401-009,,
1418-34-401-010,2018 Final,1.0,2018,1418-34-401-010,,
1418-34-401-011,2018 Final,1.0,2018,1418-34-401-011,,
098-210-030,2018 Final,1.0,2018,098-210-030,,
098-210-031,2018 Final,1.0,2018,098-210-031,,
094-110-007,2018 Final,1.0,2018,094-110-007,,
033-661-026,2018 Final,1.0,2018,033-661-026,,
124-860-01,2018 Final,1.0,2018,124-860-01,,
124-860-02,2018 Final,1.0,2018,124-860-02,,
124-860-03,2018 Final,1.0,2018,124-860-03,,
015-370-023,2019 Final,1.0,2019,015-370-023,,
016-091-42,2019 Final,1.0,2019,016-091-42,,
016-101-014,2019 Final,1.0,2019,016-101-014,,
016-300-57,2019 Final,1.0,2019,016-300-57,,
025-735-006,2019 Final,1.0,2019,025-735-006,,
027-313-013,2019 Final,1.0,2019,027-313-013,,
027-621-015,2019 Final,1.0,2019,027-621-015,,
033-255-06,2019 Final,1.0,2019,033-255-06,,
033-255-08,2019 Final,1.0,2019,033-255-08,,
034-734-026,2019 Final,1.0,2019,034-734-026,,
035-283-018,2019 Final,1.0,2019,035-283-018,,
035-283-022,2019 Final,1.0,2019,035-283-022,,
080-162-017,2019 Final,1.0,2019,080-162-017,,
083-032-031,2019 Final,1.0,2019,083-032-031,,
083-032-032,2019 Final,1.0,2019,083-032-032,,
083-033-014,2019 Final,1.0,2019,083-033-014,,
083-061-026,2019 Final,1.0,2019,083-061-026,,
083-074-003,2019 Final,1.0,2019,083-074-003,,
083-390-023,2019 Final,1.0,2019,083-390-023,,
084-052-010,2019 Final,1.0,2019,084-052-010,,
084-092-009,2019 Final,1.0,2019,084-092-009,,
084-092-016,2019 Final,1.0,2019,084-092-016,,
084-110-011,2019 Final,1.0,2019,084-110-011,,
084-110-014,2019 Final,2.0,2019,084-110-014,,
084-110-017,2019 Final,1.0,2019,084-110-017,,
084-172-005,2019 Final,2.0,2019,084-172-005,,
090-030-044,2019 Final,1.0,2019,090-030-044,,
090-071-034,2019 Final,2.0,2019,090-071-034,,
090-124-018,2019 Final,6.0,2019,090-124-018,,
090-134-046,2019 Final,4.0,2019,090-134-046,,
090-231-036,2019 Final,1.0,2019,090-231-036,,
090-232-026,2019 Final,1.0,2019,090-232-026,,
090-262-013,2019 Final,1.0,2019,090-262-013,,
090-271-015,2019 Final,1.0,2019,090-271-015,,
090-292-003,2019 Final,1.0,2019,090-292-003,,
092-142-010,2019 Final,1.0,2019,092-142-010,,
092-142-020,2019 Final,1.0,2019,092-142-020,,
092-152-015,2019 Final,1.0,2019,092-152-015,,
092-190-052,2019 Final,1.0,2019,092-190-052,,
092-190-053,2019 Final,1.0,2019,092-190-053,,
092-234-012,2019 Final,1.0,2019,092-234-012,,
093-042-021,2019 Final,1.0,2019,093-042-021,,
093-042-022,2019 Final,1.0,2019,093-042-022,,
093-160-016,2019 Final,1.0,2019,093-160-016,,
093-194-007,2019 Final,1.0,2019,093-194-007,,
093-194-012,2019 Final,1.0,2019,093-194-012,,
094-122-019,2019 Final,1.0,2019,094-122-019,,
094-300-011,2019 Final,1.0,2019,094-300-011,,
094-350-021,2019 Final,1.0,2019,094-350-021,,
095-130-007,2019 Final,5.0,2019,095-130-007,,
097-092-003,2019 Final,1.0,2019,097-092-003,,
097-122-002,2019 Final,1.0,2019,097-122-002,,
097-122-015,2019 Final,1.0,2019,097-122-015,,
097-130-029,2019 Final,1.0,2019,097-130-029,,
097-164-006,2019 Final,1.0,2019,097-164-006,,
097-192-001,2019 Final,1.0,2019,097-192-001,,
098-164-009,2019 Final,1.0,2019,098-164-009,,
112-060-017,2019 Final,2.0,2019,112-060-017,,
112-180-009,2019 Final,1.0,2019,112-180-009,,
112-190-040,2019 Final,1.0,2019,112-190-040,,
112-190-042,2019 Final,1.0,2019,112-190-042,,
115-030-035,2019 Final,1.0,2019,115-030-035,,
115-050-039,2019 Final,2.0,2019,115-050-039,,
115-060-010,2019 Final,1.0,2019,115-060-010,,
115-060-018,2019 Final,1.0,2019,115-060-018,,
117-020-009,2019 Final,1.0,2019,117-020-009,,
117-071-025,2019 Final,1.0,2019,117-071-025,,
117-100-004,2019 Final,1.0,2019,117-100-004,,
117-110-008,2019 Final,1.0,2019,117-110-008,,
117-120-031,2019 Final,1.0,2019,117-120-031,,
117-180-037,2019 Final,1.0,2019,117-180-037,,
117-180-038,2019 Final,2.0,2019,117-180-038,,
122-100-04,2019 Final,1.0,2019,122-100-04,,
122-100-23,2019 Final,1.0,2019,122-100-23,,
122-100-24,2019 Final,1.0,2019,122-100-24,,
122-181-37,2019 Final,1.0,2019,122-181-37,,
123-021-04,2019 Final,1.0,2019,123-021-04,,
123-032-01,2019 Final,4.0,2019,123-032-01,,
123-032-11,2019 Final,1.0,2019,123-032-11,,
123-032-12,2019 Final,1.0,2019,123-032-12,,
123-032-13,2019 Final,3.0,2019,123-032-13,,
123-131-02,2019 Final,1.0,2019,123-131-02,,
125-382-19,2019 Final,1.0,2019,125-382-19,,
125-462-08,2019 Final,1.0,2019,125-462-08,,
126-080-25,2019 Final,1.0,2019,126-080-25,,
126-082-49,2019 Final,1.0,2019,126-082-49,,
126-560-28,2019 Final,1.0,2019,126-560-28,,
126-560-37,2019 Final,1.0,2019,126-560-37,,
126-570-16,2019 Final,1.0,2019,126-570-16,,
129-022-07,2019 Final,4.0,2019,129-022-07,,
