Lost_APN,Issue_Category,Years_Lost,Total_Units_CSV,Match_Source,Candidate_New_APN,Match_Type,Already_In_Tahoe,Action
025-010-007,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,KK,025-010-07,kk_rename,NO,NEEDS_CHANGE_YEAR
025-010-007,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,ACCELA,025-010-007,accela_rename,NO,NEEDS_CHANGE_YEAR
025-010-007,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,KK,025-010-007,kk_rename,NO,NEEDS_CHANGE_YEAR
025-010-007,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,KK,025-010-07,kk_rename,NO,NEEDS_CHANGE_YEAR
031-093-003,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,ACCELA,031-093-003,accela_rename,NO,NEEDS_CHANGE_YEAR
031-093-003,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,KK,031-093-003,kk_rename,NO,NEEDS_CHANGE_YEAR
031-093-003,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,KK,031-093-03,kk_rename,NO,NEEDS_CHANGE_YEAR
031-093-003,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,ACCELA,031-093-003,accela_rename,NO,NEEDS_CHANGE_YEAR
031-093-003,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,KK,031-093-003,kk_rename,NO,NEEDS_CHANGE_YEAR
031-093-003,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,KK,031-093-03,kk_rename,NO,NEEDS_CHANGE_YEAR
032-050-072,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,ACCELA,032-050-072,accela_rename,NO,NEEDS_CHANGE_YEAR
032-050-072,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,KK,032-050-072,kk_rename,NO,NEEDS_CHANGE_YEAR
032-050-072,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,KK,032-050-72,kk_rename,NO,NEEDS_CHANGE_YEAR
032-050-072,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,ACCELA,032-050-072,accela_rename,NO,NEEDS_CHANGE_YEAR
032-050-072,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,KK,032-050-072,kk_rename,NO,NEEDS_CHANGE_YEAR
032-050-072,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,KK,032-050-72,kk_rename,NO,NEEDS_CHANGE_YEAR
117-180-038,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,KK,117-180-065,kk_rename,NO,NEEDS_CHANGE_YEAR
117-180-038,PARCEL_SPLIT,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,KK,117-180-065,kk_rename,NO,NEEDS_CHANGE_YEAR
115-050-039,PARCEL_SPLIT,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,ACCELA,115-050-052,accela_rename,NO,NEEDS_CHANGE_YEAR
115-050-039,PARCEL_SPLIT,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,115-050-052,kk_rename,NO,NEEDS_CHANGE_YEAR
115-050-039,PARCEL_SPLIT,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,115-050-052,kk_rename,NO,NEEDS_CHANGE_YEAR
115-050-039,PARCEL_SPLIT,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,ACCELA,115-050-052,accela_rename,NO,NEEDS_CHANGE_YEAR
115-050-039,PARCEL_SPLIT,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,115-050-052,kk_rename,NO,NEEDS_CHANGE_YEAR
115-050-039,PARCEL_SPLIT,"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",14,KK,115-050-052,kk_rename,NO,NEEDS_CHANGE_YEAR
