APN,ParcelTrackerNotes
117-100-004,New APN: 117-100-088 (parcel 117-100-004 was combined with 117-100-087 to form 117-100-088. NOTE: APN 117-100-087 is not in the TRPA database.)
123-131-05,
126-082-49,
126-570-16,New APN: 126-570-37 (boundary line adjustment between common area [APN 126-540-32] and condo unit [126-570-16])
1318-03-110-005,
1318-09-810-103,
026-031-013,"Previous APN:  026-031-03 (this lot was split to form -12, -13 & -14)
Parcel POTENTIALLY eligible as a historic resource under TRPA criteria 67.6.1 for its association with the development of the Al Tahoe neighborhood and under TRPA criteria 67.6.3 for its architectural style. Owner will have to re-apply to continue the historic determination process."
027-143-013,
029-391-033,Verified parcel size includes parcels 1 & 2.
080-192-033,
094-350-021,
115-040-075,
122-181-24,
1318-09-810-095,
015-301-002,
015-301-003,
015-370-011,"

"
022-344-012,NOTE: A lot line adjustment permit to merge half of the adjacent parcel (022-344-11) into this property has been completed (LLAD2019-0469).  The Potential Residential Unit of Use (PRUU) associated with the eliminated lot will be banked on this resultant new parcel (part of lot 58 and all of lot 59).
025-754-002,
026-105-006,
026-122-031,
026-122-033,
031-043-005,This parcel was merged with 031-043-004 to form a new APN 031-043-014.
031-207-005,
031-207-006,
083-062-038,
083-063-007,
083-202-012,
084-211-004,
090-073-019,"Verified parcel size is to HWL.
NOTE: Parcel has 1,048 sf of class 1b verified coverage in right-of-way - File #lcap2018-0275. "
090-102-010,
090-162-016,LCC - Hearings Officer approved - See also 090-162-012.
090-201-008,
090-261-019,
092-120-007,New APN: 092-120-058 (APN 092-120-050 was combined with 092-120-007 to form 092-120-058)
092-120-042,
093-083-008,
093-083-009,
093-083-010,
093-083-011,
093-083-012,
093-083-014,
093-083-015,
094-032-004,
094-173-005,
094-173-021,
095-110-006,
098-010-036,"Previous APN: 098-010-003 (parcel was split into 098-010-036 and 098-010-037).

NOTE: This parcel is part of a deed restricted ""project area"" for the purpose of land coverage calculations that includes APNs 098-010-036 & 098-010-037. All parcel area, existing and banked coverage calculations, and existing and banked development rights for both parcels have been combined and are shown here.

"
098-010-037,"Previous APN: 098-010-003 (parcel was split into 098-010-036 and 098-010-037).

NOTE: This parcel is part of a deed restricted ""project area"" for the purpose of land coverage calculations that includes APNs 098-010-036 & 098-010-037. All parcel area, existing and banked coverage calculations, and existing and banked development rights for both parcels have been combined and are shown on APN 098-010-036.

"
098-165-002,
098-192-002,
098-231-024,
098-314-014,
112-070-002,
112-190-044,
112-270-004,
117-100-014,
117-100-015,
117-100-016,
117-100-017,
117-110-023,
117-160-013,
122-530-25,This APN was combined with 122-530-26 to form the new APN: 122-530-38
122-530-26,This APN was combined with 122-530-25 to form the new APN: 122-530-38
1318-23-814-004,
021-321-32,
025-224-20,
031-085-23,
033-661-026,"NOTE: Per Lot Line Adjustment LLAD2019-0764, this parcel is deed restricted to have 2,124 sf of allowed coverage."
033-703-014,
033-841-031,
033-841-033,
035-234-20,
036-423-018,
085-343-024,
090-030-035,
090-074-012,
094-122-001,
094-300-011,
098-167-006,"This parcel contains several legal lots of record, which are being reconfigured through the County. Lots 13 and 14 combined (9,241 sq.ft.) have been assigned new parcel number 098-167-018.  The info only IPES score issued under file LCAP2020-0397 is now official (IPES score 911, 27% allowed coverage). Lots 10 & 11 (10,000 sq.ft.) were also combined with the County (new APN 098-167-019)- the existing IPES score of 736 with 25% allowed coverage has been transferred to that new APN."
122-530-37,Appears that this parcel was once part of APN 122-530-27.
123-041-05,New APNs: 123-041-28 & 123-041-29 (APN 123-041-05 was split)
123-041-19,
130-163-36,"NOTE: This parcel is part of a deed restricted ""project area"" for the purpose of land coverage calculations that includes APNs 130-163-36 (formerly 130-163-27), 130-163-28, 130-163-29, 130-163-30, 130-163-33, 130-163-34, & 130-163-35."
1319-19-411-016,"Parcel size includes 1319-19-411-024 - now merged to create new parcel/APN 1318-19-411-030. 

Based on assessor's data, the structures on this parcel are over 50 years in age and may be eligible as historic resources. Demolitions, repairs, additions, reconstruction, modifications, and maintenance of the structures are subject to the provisions of Section 67.7 of the TRPA Code of Ordinances and will require TRPA review and approval."
1319-19-411-024,Parcel size includes 1319-19-411-016 and 1319-411-024 - now merged to create new parcel/APN 1318-19-411-030.
021-201-16,
025-744-011,
027-143-022,
027-621-015,
029-095-030,New APNs: 029-095-032 & 029-095-033 (a portion of 029-095-030 and all of 029-095-026 were combined to form 029-095-033. The remainder of 029-095-030 became 029-095-032).
030-352-027,
034-241-002,
035-291-005,NOTE: No verifications of land class or existing coverage have been completed on this parcel.
036-563-014,"New APNs assigned: Lot 61became 036-563-016, Lot 62 became 036-563-017"
080-173-013,
090-225-002,
092-100-016,
092-154-009,New APNs: 092-154-050 & 092-154-051 (APNs 092-154-009 and 092-154-010 were merged and re-split into new configurations and re-numbered 092-154-050 and 092-154-051).
092-200-009,"6,482 sf of verified existing coverage was not broken down by land class and, therefore, was not entered into the Existing Inventory fields below."
092-200-022,
094-200-049,"NOTE: APNs 094-200-026, 094-200-027, 094-200-029, 094-200-037, 094-200-049, 094-200-050, and 094-200-051 are part of a deed restricted ""project area"". These parcels are permanently deed restricted to be treated as if legally consolidated for purposes of determining land coverage for each parcel. The amount of existing coverage on APN 094-200-049 is a maximum of 4,970 sf of Class 5 coverage. The amount of coverage on APNs 094-200-026, 094-200-027, 094-200-029, 094-200-037, 094-200-050, and 094-200-051 is a minimum of 80,821 sf in Classes 1b and 5. A copy of the recorded document is available for review in the CAP DOCUMENTS."
097-193-004,Property is considered not historic per file: HIST2021-1409.
098-200-026,
