Lost_APN,Candidate_New_APN,Confidence,FC_Last_Year_Old,FC_First_Year_New,Suggested_Change_Year,Total_Units_CSV,Match_Source,Issue_Category
016-211-17,016-211-14,MEDIUM_GAP,2025,2013,2013,1,KK,PARCEL_SPLIT
016-332-42,016-332-24,MEDIUM_GAP,2025,2013,2013,1,KK,PARCEL_SPLIT
016-300-63,016-300-21,MEDIUM_GAP,2025,2013,2013,1,KK,PARCEL_SPLIT
016-544-20,016-544-16,MEDIUM_GAP,2025,2013,2013,1,KK,PARCEL_SPLIT
016-091-065,016-091-51,MEDIUM_GAP,2017,2012,2012,1,KK,PARCEL_SPLIT
015-322-28,015-322-12,MEDIUM_GAP,2025,2013,2013,1,KK,PARCEL_SPLIT
034-734-26,034-734-028,MEDIUM_NEW_ONLY,,2017,2017,1,KK,PARCEL_SPLIT
023-904-018,023-904-08,MEDIUM_GAP,2025,2012,2012,1,KK,PARCEL_SPLIT
117-210-014,117-210-001,MEDIUM_GAP,2025,2012,2012,1,KK,PARCEL_SPLIT
030-421-02,030-421-01,MEDIUM_GAP,2025,2013,2013,1,KK,PARCEL_SPLIT
023-341-20,023-341-03,MEDIUM_GAP,2025,2013,2013,1,KK,PARCEL_SPLIT
025-225-14,025-225-031,MEDIUM_NEW_ONLY,,2017,2017,1,KK,PARCEL_SPLIT
022-331-26,022-331-25,MEDIUM_GAP,2025,2013,2013,1,KK,PARCEL_SPLIT
018-320-13,018-320-11,MEDIUM_GAP,2025,2013,2013,1,KK,PARCEL_SPLIT
018-300-23,018-300-06,MEDIUM_GAP,2025,2013,2013,1,KK,PARCEL_SPLIT
033-574-06,033-574-03,MEDIUM_GAP,2025,2013,2013,1,KK,PARCEL_SPLIT
021-241-07,021-241-01,MEDIUM_GAP,2025,2013,2013,1,KK,PARCEL_SPLIT
017-021-31,017-021-15,MEDIUM_GAP,2025,2013,2013,1,KK,PARCEL_SPLIT
029-095-30,029-095-22,MEDIUM_GAP,2022,2013,2013,1,KK,PARCEL_SPLIT
031-084-17,031-084-03,MEDIUM_GAP,2025,2013,2013,1,KK,PARCEL_SPLIT
027-313-02,027-313-016,MEDIUM_NEW_ONLY,,2017,2017,1,KK,PARCEL_SPLIT
090-191-049,090-191-047,MEDIUM_GAP,2025,2020,2020,1,KK,PARCEL_SPLIT
