APN,CY2012,CY2013,CY2014,CY2015,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,CY2022,CY2023,CY2024,CY2025
032-191-005,,,,,,,12,12,12,12,12,12,12,12
032-191-015,,,,,,,15,15,15,15,15,15,15,15
032-191-05,12,12,12,12,12,12,,,,,,,,
032-191-15,15,15,15,15,15,15,,,,,,,,
032-201-007,,,,,,,19,19,19,19,19,19,19,19
032-201-018,,,,,,,15,15,15,15,15,15,15,15
032-201-023,,,,,,,16,16,16,16,16,16,16,16
032-201-07,19,19,19,19,19,19,,,,,,,,
032-201-18,15,15,15,15,15,15,,,,,,,,
032-201-23,16,16,16,16,16,16,,,,,,,,
032-221-001,,,,,,,13,13,13,13,13,13,13,13
032-221-003,,,,,,,12,12,12,12,12,12,12,12
032-221-01,13,13,13,13,13,13,,,,,,,,
032-221-03,12,12,12,12,12,12,,,,,,,,
083-107-009,22,22,22,22,22,22,22,22,22,22,22,22,22,22
084-140-028,23,23,23,23,23,23,23,23,23,23,23,23,23,23
090-065-010,6,6,6,6,6,6,6,6,6,6,6,6,6,6
090-071-005,16,16,16,16,16,16,16,16,16,16,16,16,16,16
090-071-017,6,6,6,6,6,6,6,6,6,6,6,6,6,6
090-071-033,14,14,14,14,14,14,14,14,14,14,14,14,14,14
090-073-006,10,10,10,10,10,10,10,10,10,10,10,10,10,10
090-072-009,6,6,6,6,6,6,6,6,6,6,6,6,6,6
090-072-027,23,23,23,23,23,23,23,23,23,23,23,23,23,23
090-072-026,27,27,27,27,0,0,0,0,0,0,0,0,0,0
090-072-028,25,25,25,25,25,25,25,25,25,25,25,25,25,25
090-072-029,25,25,25,25,25,25,25,25,25,25,25,25,25,25
090-074-008,13,13,13,13,13,13,13,13,13,13,13,13,13,13
090-121-019,8,8,8,8,8,8,8,8,8,8,8,8,8,8
090-142-007,6,6,6,6,6,6,6,6,6,6,6,6,6,6
090-142-023,22,22,22,22,22,22,22,22,22,22,22,22,22,22
090-142-026,18,18,18,18,18,18,18,18,18,18,18,18,18,18
090-221-002,11,11,11,11,11,11,11,11,11,11,11,11,11,11
090-222-012,6,6,6,6,6,6,6,6,6,6,6,6,6,6
090-304-012,93,93,93,93,93,93,93,93,93,93,93,93,93,93
093-020-016,21,21,21,21,21,21,21,21,21,21,21,21,21,21
094-070-010,46,46,46,46,46,46,46,46,46,46,46,46,46,46
094-080-005,8,8,8,8,8,8,8,8,8,8,8,8,8,8
094-090-001,34,34,34,34,34,34,34,34,34,34,34,34,34,34
094-110-009,44,44,44,44,44,44,44,44,44,44,44,44,44,44
094-130-004,24,24,24,24,24,24,24,24,24,24,24,24,24,24
095-481-011,165,165,165,165,165,165,165,165,165,165,165,165,165,165
097-083-013,9,9,9,9,9,9,9,9,9,9,9,9,9,9
097-121-011,16,16,16,16,16,16,16,16,16,16,16,16,16,16
097-130-031,8,8,8,8,8,8,8,8,8,8,8,8,8,8
097-140-031,5,5,5,5,5,5,5,5,5,5,5,5,5,5
097-153-001,4,4,4,4,4,4,4,4,4,4,4,4,4,4
098-200-024,9,9,9,9,9,9,9,9,9,9,9,9,9,9
098-200-027,16,16,16,16,16,16,16,16,16,16,16,16,16,16
098-210-024,10,10,10,10,10,10,10,10,10,10,10,10,10,10
098-360-007,,,,,,,23,23,23,0,0,0,0,0
098-210-030,23,23,23,23,23,23,,,,,,,,
115-030-097,5,,,,,,,,,,,,,
115-040-046,2,2,2,2,2,2,2,0,0,0,0,0,0,0
115-040-050,8,8,8,8,8,8,8,8,8,8,8,8,8,8
117-071-004,20,20,20,20,20,20,20,20,20,20,20,20,20,20
117-071-005,13,13,13,13,13,13,13,13,13,13,13,13,13,13
117-071-006,31,31,31,31,31,31,31,31,31,31,31,31,31,31
117-071-008,8,8,8,8,8,8,8,8,8,8,8,8,8,8
