Relation_ID,Residential_Unit_ID,APN,APN_canon,Transaction_ID,Sequence,Is_Latest,Transaction_Type,Development_Type,Detailed_Development_Type,Development_Right,Allocation_Number,Quantity,Transaction_Record_ID,Transaction_Created_Date,Transaction_Acknowledged_Date,Year_Built,TRPA_Project_Number,Local_Project_Number,TRPA_Status,TRPA_Status_Date,Local_Status,Local_Status_Date,Status_Jan_2026,Notes
RUT-015-152-010-001-01,RU-015-152-010-001,015-152-010,015-152-010,EDCCA-ALLOC-938,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-19-O-21,1.0,,,,2020.0,,,,,,,Completed,
RUT-015-154-004-001-01,RU-015-154-004-001,015-154-004,015-154-004,EDCCA-ALLOC-1377,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-11-O-14,1.0,,,,2015.0,,,,,,,Completed,
RUT-015-164-013-001-01,RU-015-164-013-001,015-164-013,015-164-013,EDCCA-ALLOC-395,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation,EL-14-O-38,1.0,,,,2018.0,,,,,,,Completed,
RUT-015-201-025-001-01,RU-015-201-025-001,015-201-025,015-201-025,EDCCA-ALLOC-1399,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-09-O-18,1.0,,,,2011.0,,,,,,,Completed,
RUT-015-202-001-001-01,RU-015-202-001-001,015-202-001,015-202-001,EDCCA-ALLOC-1295,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-20-O-10,1.0,,,,2021.0,,,,,,,Completed,
RUT-015-213-016-001-01,RU-015-213-016-001,015-213-016,015-213-016,EDCCA-ALLOC-1379,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-11-O-17,1.0,,,,2014.0,,,,,,,Completed,
RUT-015-213-025-001-01,RU-015-213-025-001,015-213-025,015-213-025,EDCCA-ALLOC-396,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-15-O-14,1.0,,,,2021.0,,248117,,,Finaled,2021-07-07,Completed,
RUT-015-252-005-001-01,RU-015-252-005-001,015-252-005,015-252-005,EDCCA-ALLOC-1309,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-20-O-19,1.0,,,,2021.0,,,,,,,Completed,
RUT-015-252-010-001-01,RU-015-252-010-001,015-252-010,015-252-010,EDCCA-ALLOC-2090,1,True,Residential Allocation,Allocation,New Single-Family Residential From Allocation,Residential Allocation - El Dorado County,EL-21-O-25,1.0,,,,2024.0,0349306,349305,Finaled,2025-01-08,Finaled,2024-08-30,Completed,
RUT-015-253-026-001-01,RU-015-253-026-001,015-253-026,015-253-026,EDCCA-ALLOC-1437,1,True,Residential Allocation,Allocation,New Single-Family Residential from Allocation,Residential Allocation,EL-20-O-09,1.0,,,,2022.0,,,,,,,Completed,
