Building_ID,APN,APN_canon,Square_Feet,Original_Year_Built,Feature,Surface,Parcel_Acres,Residential_Units,Units_Assigned,COUNTY,JURISDICTION
19225,028-152-025,028-152-025,1052.27,1978,Building,Hard,0.2965314809204647,1.0,1,EL,CSLT
19226,028-301-024,028-301-024,925.86,1973,Building,Hard,0.0459010698536707,1.0,1,EL,CSLT
19227,028-301-021,028-301-021,1262.95,1973,Building,Hard,0.0461493813618298,1.0,1,EL,CSLT
19228,,,884.09,,Building,Hard,,,0,,
19229,027-151-035,027-151-035,653.68,1941,Building,Hard,0.2211054276294327,2.0,1,EL,CSLT
19230,028-241-001,028-241-001,2501.98,,Building,Hard,4.068418525489089,1.0,0,EL,CSLT
19231,027-153-027,027-153-027,2170.46,1965,Building,Hard,0.2295228403475614,5.0,5,EL,CSLT
19232,027-357-003,027-357-003,1832.36,1957,Building,Hard,0.199859541145277,1.0,1,EL,CSLT
19233,027-156-009,027-156-009,461.22,1940,Building,Hard,0.1142311985285645,1.0,1,EL,CSLT
19234,027-311-009,027-311-009,2027.1,2004,Building,Hard,0.2295942845512273,0.0,0,EL,CSLT
19235,028-241-001,028-241-001,1655.84,,Building,Hard,4.068418525489089,1.0,0,EL,CSLT
19236,027-203-008,027-203-008,1106.93,1951,Building,Hard,0.2278255696494401,2.0,1,EL,CSLT
19237,027-203-011,027-203-011,1798.19,1977,Building,Hard,0.2480569908359999,1.0,1,EL,CSLT
19238,028-301-007,028-301-007,776.67,1973,Building,Hard,0.0460285794988594,1.0,1,EL,CSLT
19239,027-125-033,027-125-033,1249.28,1973,Building,Hard,0.1152153261437523,2.0,2,EL,CSLT
19240,028-151-002,028-151-002,1409.86,1988,Building,Hard,0.4543227913225315,1.0,1,EL,CSLT
19241,027-156-010,027-156-010,997.6,2005,Building,Hard,0.1152164263104593,1.0,1,EL,CSLT
19242,028-152-010,028-152-010,2615.86,1974,Building,Hard,0.2688784507440569,1.0,1,EL,CSLT
19243,027-201-011,027-201-011,1021.52,1957,Building,Hard,0.109781909795782,1.0,1,EL,CSLT
19244,027-203-017,027-203-017,473.68,1947,Building,Hard,0.2365617868568688,2.0,0,EL,CSLT
19245,027-354-019,027-354-019,3423.28,1973,Building,Hard,0.3563773875460624,5.0,3,EL,CSLT
19246,028-301-048,028-301-048,1454.27,1980,Building,Hard,0.0461521448766339,1.0,1,EL,CSLT
19247,027-354-020,027-354-020,4711.45,1966,Building,Hard,0.344763660367018,7.0,5,EL,CSLT
19248,018-090-072,018-090-072,7377.25,2001,Building,Hard,0.994747476882608,1.0,1,EL,EL
19249,028-301-020,028-301-020,1317.68,1973,Building,Hard,0.0460747004110099,1.0,1,EL,CSLT
19250,027-352-003,027-352-003,4352.56,1957,Building,Hard,0.1779188737042007,9.0,9,EL,CSLT
19251,018-191-021,018-191-021,1405.04,1963,Building,Hard,0.6832021116706463,1.0,1,EL,EL
19252,027-203-010,027-203-010,753.9,1961,Building,Hard,0.2299467400769414,1.0,1,EL,CSLT
19253,027-125-005,027-125-005,758.45,1948,Building,Hard,0.1152411051542655,1.0,1,EL,CSLT
19254,028-301-065,028-301-065,975.97,1979,Building,Hard,0.0459505279872542,1.0,1,EL,CSLT
19255,027-125-032,027-125-032,1720.75,1973,Building,Hard,0.1152160677986389,2.0,2,EL,CSLT
19256,027-156-002,027-156-002,537.52,1973,Building,Hard,0.1148981134084596,2.0,2,EL,CSLT
19257,018-090-071,018-090-071,1496.41,2001,Building,Hard,0.2752420470731171,1.0,1,EL,EL
19258,028-301-008,028-301-008,488.55,1979,Building,Hard,0.0457657540544709,1.0,1,EL,CSLT
19259,028-241-001,028-241-001,445.28,,Building,Hard,4.068418525489089,1.0,0,EL,CSLT
19260,027-203-016,027-203-016,341.65,1947,Building,Hard,0.2181752273325374,3.0,3,EL,CSLT
19261,027-203-008,027-203-008,740.23,1951,Building,Hard,0.2278255696494401,2.0,1,EL,CSLT
19262,028-162-033,028-162-033,1434.91,1976,Building,Hard,0.23082134550576,1.0,1,EL,CSLT
19263,027-203-009,027-203-009,720.88,1956,Building,Hard,0.2298747400119952,1.0,1,EL,CSLT
19264,027-153-017,027-153-017,1553.35,1974,Building,Hard,0.1148725784096131,2.0,2,EL,CSLT
