ChangeEventID,RawAPN,CanonicalAPN,CommodityShortName,Year,PreviousQuantity,NewQuantity,Quantity_Delta,ChangeSource,Rationale,EvidenceURL,RecordedBy,RecordedAt,ReportingYear,SweepCampaign,CorrectionCategory,CorrectionCategoryCanonical,SummaryReason,SourceFileSnapshot,LoadedAt,LoadedDate
39,015-065-03,015-065-003,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,Corrected based on TRPA/County verification,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Additional Unit(s) Removed in 2026,True,Corrected based on TRPA/County verification,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
40,015-101-04,015-101-004,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,"TRPA verified 2 RUU, LCAP2021-0164",,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Unit(s) Not Previously Counted - Added in 2026,True,"TRPA verified 2 RUU, LCAP2021-0164",CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
41,015-104-20,015-104-020,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,False,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
42,015-153-07,015-153-007,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,County shows 1 unit,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Additional Unit(s) Removed in 2026,True,County shows 1 unit,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
43,015-162-21,015-162-021,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,False,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
44,015-162-23,015-162-023,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,County Records show 1 unit,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Corrections based on County Data,False,County Records show 1 unit,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
45,015-201-18,015-201-018,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,County shows 1 unit,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Additional Unit(s) Removed in 2026,True,County shows 1 unit,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
46,015-201-25,015-201-025,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,False,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
47,015-204-10,015-204-010,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,County shows 1 unit,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Additional Unit(s) Removed in 2026,True,County shows 1 unit,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
48,015-211-21,015-211-021,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Vacant Parcel,False,Vacant parcel - zero out,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
49,015-211-23,015-211-023,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,False,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
50,015-212-10,015-212-010,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Vacant parcel - zero out,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Vacant Parcel,False,Vacant parcel - zero out,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
51,015-213-24,015-213-024,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Parcel Number Only,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Correction Based on County Data,False,Parcel Number Only,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
52,015-213-26,015-213-026,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Parcel Number Only,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Correction Based on County Data,False,Parcel Number Only,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
53,015-254-24,015-254-024,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - should be 2 units,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Over-Correction,False,Error - should be 2 units,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
54,015-254-24,015-254-024,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County Shows 2 units onsite,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Unit(s) Incorrectly Removed in 2023 - Unit(s) Added Back in 2026,True,County Shows 2 units onsite,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
55,015-254-30,015-254-030,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,False,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
56,015-261-37,015-261-037,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,County shows 1 unit,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Additional Unit(s) Removed in 2026,True,County shows 1 unit,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
57,015-262-17,015-262-017,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,County shows 3 units,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Unit(s) Not Previously Counted - Added in 2026,True,County shows 3 units,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
58,015-263-12,015-263-012,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,False,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
59,015-263-12,015-263-012,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,Unit not constructed until 2014,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Over-Correction in 2023; Unit(s) Removed in 2026,True,Unit not constructed until 2014,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
60,015-264-17,015-264-017,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Parcel Number Only,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Correction Based on County Data,False,Parcel Number Only,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
61,015-264-17,015-264-017,SFRUU_or_MFRUU_TBD,2026,,,1,qa_correction,Parcel number changed in 2014,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Unit(s) Incorrectly Removed in 2023 - Unit(s) Added Back in 2026,True,Parcel number changed in 2014,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
62,015-264-25,015-264-025,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Parcel Number Only,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Correction Based on County Data,False,Parcel Number Only,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
63,015-264-25,015-264-025,SFRUU_or_MFRUU_TBD,2026,,,-1,qa_correction,Parcel number changed in 2014,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2026,2026_big_sweep,Over-Correction in 2023; Unit(s) Removed in 2026,True,Parcel number changed in 2014,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
64,015-301-01,015-301-001,SFRUU_or_MFRUU_TBD,2023,,,-1,qa_correction,Error - should be 1 unit,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Over-Correction,False,Error - should be 1 unit,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
65,015-302-38,015-302-038,SFRUU_or_MFRUU_TBD,2023,,,1,qa_correction,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,,TRPA_analyst,2026-05-04T07:57:36.418395+00:00,2023,2023_big_sweep,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,False,Unit(s) not previously counted. Constructed in or before 2012. Verified with County.,CA Changes breakdown.xlsx@2026-04-30,2026-05-04T07:57:36.418395+00:00,2026-05-15
