APN,YEAR,Residential_Units,TouristAccommodation_Units,CommercialFloorArea_SqFt,COUNTY,JURISDICTION,PARCEL_ACRES,APN_canon,OriginalYrBuilt,OriginalYrBuilt_source_APN,match_method,CountyYearBuilt,COMBINED_YEAR_BUILT,combined_source
097-081-002,2025,0,0,0.0,PL,PL,0.4496773390702983,097-081-002,1965.0,097-081-002,direct,,1965.0,original
085-132-002,2025,0,0,0.0,PL,PL,0.2154062316152936,085-132-002,1978.0,085-132-002,direct,,1978.0,original
084-220-007,2025,0,0,0.0,PL,PL,0.3177137550397664,084-220-007,1990.0,084-220-007,direct,,1990.0,original
083-074-009,2025,0,0,0.0,PL,PL,0.1466738181823162,083-074-009,1983.0,083-074-009,direct,,1983.0,original
098-180-012,2025,0,0,0.0,PL,PL,0.4021012953214865,098-180-012,1940.0,098-180-012,direct,,1940.0,original
083-252-001,2025,0,0,0.0,PL,PL,0.3058802990130949,083-252-001,1988.0,083-252-001,direct,,1988.0,original
083-253-014,2025,0,0,0.0,PL,PL,0.2808287661447189,083-253-014,1979.0,083-253-14,direct,,1979.0,original
085-111-010,2025,0,0,0.0,PL,PL,0.2871854483353711,085-111-010,2007.0,085-111-10,direct,,2007.0,original
097-130-038,2025,0,0,0.0,PL,PL,0.0518799694627618,097-130-038,2014.0,097-130-038,direct,2014.0,2014.0,original
083-020-051,2025,0,0,0.0,PL,PL,6.580911923190271,083-020-051,1997.0,083-020-051,direct,,1997.0,original
083-480-012,2025,0,0,0.0,PL,PL,0.2669586994108779,083-480-012,1987.0,083-480-12,direct,,1987.0,original
085-171-003,2025,0,0,0.0,PL,PL,0.1723268600196337,085-171-003,1990.0,085-171-003,direct,,1990.0,original
085-111-005,2025,0,0,0.0,PL,PL,0.2849574788025285,085-111-005,1975.0,085-111-005,direct,,1975.0,original
085-171-002,2025,0,0,0.0,PL,PL,0.172313095259217,085-171-002,1992.0,085-171-02,direct,,1992.0,original
085-111-004,2025,0,0,0.0,PL,PL,0.2860687325178971,085-111-004,2004.0,085-111-004,direct,,2004.0,original
085-072-017,2025,0,0,0.0,PL,PL,0.2010544511293776,085-072-017,2023.0,085-072-018,genealogy_new_from_old,,2023.0,original
085-020-004,2025,0,0,0.0,PL,PL,159.5801326116216,085-020-004,1999.0,085-020-004,direct,,1999.0,original
085-020-003,2025,0,0,0.0,PL,PL,159.03819406114332,085-020-003,1955.0,085-020-003,direct,,1955.0,original
084-091-018,2025,0,0,0.0,PL,PL,0.0615110800054668,084-091-018,,,unmatched,1960.0,1960.0,county
083-340-007,2025,0,0,0.0,PL,PL,0.283085935496269,083-340-007,1972.0,083-340-007,direct,,1972.0,original
083-251-001,2025,0,0,0.0,PL,PL,0.2557674842105865,083-251-001,1986.0,083-251-001,direct,,1986.0,original
097-121-003,2025,0,0,0.0,PL,PL,0.2029327594070081,097-121-003,1974.0,097-121-003,direct,,1974.0,original
097-122-030,2025,0,0,0.0,PL,PL,0.5939617833586232,097-122-030,,,unmatched,1965.0,1965.0,county
083-420-013,2025,0,0,0.0,PL,PL,0.2703533668805709,083-420-013,1982.0,083-420-013,direct,,1982.0,original
083-480-003,2025,0,0,0.0,PL,PL,0.2368946476900869,083-480-003,1987.0,083-480-03,direct,,1987.0,original
083-420-012,2025,0,0,0.0,PL,PL,0.3036835812167099,083-420-012,1982.0,083-420-12,direct,,1982.0,original
085-112-001,2025,0,0,0.0,PL,PL,0.2235342201565953,085-112-001,2006.0,085-112-01,direct,,2006.0,original
085-020-022,2025,0,0,0.0,PL,PL,37.54048717980216,085-020-022,2004.0,085-020-22,direct,,2004.0,original
085-280-073,2025,0,0,0.0,PL,PL,0.2069559569690318,085-280-073,1973.0,085-280-074,genealogy_old_from_new,,1973.0,original
085-020-005,2025,0,0,0.0,PL,PL,160.48025376226346,085-020-005,1987.0,085-020-005,direct,,1987.0,original
084-121-014,2025,0,0,0.0,PL,PL,1.36732685747197,084-121-014,,,unmatched,1935.0,1935.0,county
084-154-007,2025,0,0,0.0,PL,PL,0.8432850833213411,084-154-007,1935.0,084-154-007,direct,,1935.0,original
083-252-008,2025,0,0,0.0,PL,PL,0.2665390010068373,083-252-008,1987.0,083-252-08,direct,,1987.0,original
083-162-038,2025,0,0,0.0,PL,PL,0.3286272205178447,083-162-038,2009.0,083-162-038,direct,2009.0,2009.0,original
083-253-008,2025,0,0,0.0,PL,PL,0.2708313790819281,083-253-008,1977.0,083-253-08,direct,,1977.0,original
083-253-002,2025,0,0,0.0,PL,PL,0.2805506882109153,083-253-002,1979.0,083-253-02,direct,,1979.0,original
097-020-027,2025,0,0,0.0,PL,PL,8.080464010053797,097-020-027,1983.0,097-020-27,direct,,1983.0,original
097-020-013,2025,0,0,0.0,PL,PL,410.08210770678073,097-020-013,1971.0,097-020-013,direct,,1971.0,original
097-020-003,2025,0,0,0.0,PL,PL,666.2416045466316,097-020-003,1972.0,097-020-03,direct,,1972.0,original
097-020-026,2025,0,0,0.0,PL,PL,616.2312496750733,097-020-026,1975.0,097-020-026,direct,,1975.0,original
083-480-001,2025,0,0,0.0,PL,PL,0.2395688102033941,083-480-001,1987.0,083-480-01,direct,,1987.0,original
085-142-005,2025,0,0,0.0,PL,PL,0.3152529257304982,085-142-005,1998.0,085-142-005,direct,,1998.0,original
083-420-006,2025,0,0,0.0,PL,PL,0.5781518424281537,083-420-006,1982.0,083-420-006,direct,,1982.0,original
083-420-007,2025,0,0,0.0,PL,PL,0.6380594175554805,083-420-007,1982.0,083-420-07,direct,,1982.0,original
085-111-009,2025,0,0,0.0,PL,PL,0.8028570282714932,085-111-009,1985.0,085-111-09,direct,,1985.0,original
085-113-004,2025,0,0,0.0,PL,PL,1.1626515031904714,085-113-004,2005.0,085-113-04,direct,,2005.0,original
085-020-026,2025,0,0,0.0,PL,PL,40.718202135447385,085-020-026,1951.0,085-020-026,direct,,1951.0,original
084-052-014,2025,0,0,0.0,PL,PL,0.7029163165913282,084-052-014,1980.0,084-052-010,genealogy_new_from_old,,1980.0,original
085-050-044,2025,0,0,0.0,PL,PL,0.0050551846788726,085-050-044,2008.0,085-050-039,genealogy_new_from_old,,2008.0,original
085-040-030,2025,0,0,0.0,PL,PL,1.101037685208921,085-040-030,1992.0,085-040-030,direct,,1992.0,original
084-140-027,2025,0,0,0.0,PL,PL,1.7559631535656473,084-140-027,1985.0,084-140-027,direct,1987.0,1985.0,original
084-191-004,2025,0,0,0.0,PL,PL,2.0133958850556977,084-191-004,,,unmatched,1961.0,1961.0,county
084-172-006,2025,0,0,0.0,PL,PL,1.4720496784197663,084-172-006,,,unmatched,2017.0,2017.0,county
084-110-021,2025,0,0,0.0,PL,PL,1.0624702366768617,084-110-021,,,unmatched,2017.0,2017.0,county
084-220-001,2025,0,0,0.0,PL,PL,0.7146052217275563,084-220-001,1991.0,084-220-001,direct,,1991.0,original
084-140-017,2025,0,0,0.0,PL,PL,0.7763688908235624,084-140-017,2002.0,084-140-17,direct,,2002.0,original
083-075-003,2025,0,0,0.0,PL,PL,0.1290206012771041,083-075-003,1977.0,083-075-003,direct,,1977.0,original
083-061-075,2025,0,0,0.0,PL,PL,0.3362379737490973,083-061-075,1978.0,083-061-021,genealogy_old_from_new,,1978.0,original
083-083-006,2025,0,0,0.0,PL,PL,0.3045888400034386,083-083-006,2002.0,083-083-006,direct,,2002.0,original
083-251-006,2025,0,0,0.0,PL,PL,0.2502616553467495,083-251-006,1988.0,083-251-06,direct,,1988.0,original
097-140-018,2025,0,0,0.0,PL,PL,0.2146770277222805,097-140-018,1988.0,097-140-018,direct,,1988.0,original
097-140-005,2025,0,0,0.0,PL,PL,1.2170940608164749,097-140-005,1983.0,097-140-05,direct,,1983.0,original
097-140-004,2025,0,0,0.0,PL,PL,0.4059073908041438,097-140-004,1988.0,097-140-004,direct,2008.0,1988.0,original
097-060-036,2025,0,0,0.0,PL,PL,39.486170052514304,097-060-036,,,unmatched,2002.0,2002.0,county
097-130-033,2025,0,0,0.0,PL,PL,0.6873777053261575,097-130-033,,,unmatched,1978.0,1978.0,county
