Transaction Number,Parcel Type,APN,Current Parcel Status 2/1/2024,Parcel Address,Current Active Parcel
TRPA-TRF-364,Sending,029-441-004,Inactive,,029-441-024
TRPA-TRF-363,Sending,032-201-013,Active,,
TRPA-TRF-362,Sending,033-050-006,Active,,
TRPA-TRF-361,Sending,1418-10-802-008,Inactive,"1949 GLENBROOK INN RD, GLENBROOK, NV 89413",1418-10-802-010
TRPA-TRF-360,Sending,1318-22-002-103,Active,,
TRPA-TRF-359,Sending,029-161-024,Active,,
TRPA-TRF-356,Sending,023-201-075,Active,,
TRPA-TRF-325,Sending,027-082-035,Active,,
TRPA-TRF-323,Sending,1318-22-002-103,Active,,
TRPA-TRF-322,Sending,094-110-021,Active,,
TRPA-TRF-321,Sending,1418-34-401-007,Active,,
TRPA-TRF-320,Sending,033-524-001,Active,,
TRPA-TRF-319,Sending,033-160-004,Active,,
TRPA-TRF-317,Sending,023-663-016,Active,,
TRPA-TRF-316,Sending,1418-34-101-001,Inactive,"1301 HWY 50, NV 89413",1418-34-113-002
TRPA-TRF-315,Sending,1318-24-404-016,Inactive,"580 EDGEWOOD DR, STATELINE, NV 89449",1318-24-404-023
TRPA-TRF-314,Sending,032-040-004,Active,,
TRPA-TRF-312,Sending,1318-22-002-103,Active,,
TRPA-TRF-308,Sending,026-061-003,Active,,
TRPA-TRF-307,Sending,032-191-002,Active,,
TRPA-TRF-306,Sending,032-191-002,Active,,
TRPA-TRF-305,Sending,032-141-027,Active,,
TRPA-TRF-304,Sending,034-571-002,Active,,
TRPA-TRF-303,Sending,026-032-014,Active,,
TRPA-TRF-302,Sending,026-032-014,Active,,
TRPA-TRF-301,Sending,032-141-027,Active,,
TRPA-TRF-299,Sending,1418-15-701-009,Active,,
TRPA-TRF-298,Sending,034-161-021,Active,,
TRPA-TRF-297,Sending,025-282-010,Active,,
TRPA-TRF-296,Sending,025-051-028,Active,,
TRPA-TRF-295,Sending,016-600-013,Active,,
