CSV_APN,FC_APN,Year,match,APN_changed
015-301-002,015-301-035,2024,within,True
015-301-003,015-301-036,2024,within,True
015-370-011,015-370-030,2024,within,True
015-370-023,015-370-028,2024,within,True
016-101-014,016-101-095,2024,within,True
022-344-012,022-344-028,2024,within,True
025-554-013,025-554-014,2024,within,True
025-735-006,025-735-012,2024,within,True
025-744-011,025-744-022,2024,within,True
025-754-002,025-754-008,2024,within,True
026-031-013,026-031-019,2024,within,True
026-105-006,026-105-023,2024,within,True
026-111-021,026-111-025,2024,within,True
026-122-031,026-122-036,2024,within,True
026-122-033,026-122-036,2024,within,True
026-300-001,026-310-003,2024,within,True
027-122-004,027-122-025,2024,within,True
027-143-013,027-143-027,2024,within,True
027-143-022,027-143-027,2024,within,True
027-153-003,027-153-037,2024,within,True
027-313-013,027-313-017,2024,within,True
029-095-030,029-095-033,2024,within,True
029-391-033,029-391-043,2024,within,True
030-352-027,030-352-034,2024,within,True
031-043-005,031-043-014,2024,within,True
031-207-005,031-207-026,2024,within,True
031-207-006,031-207-025,2024,within,True
033-703-014,033-703-020,2024,within,True
033-841-031,033-841-057,2024,within,True
033-841-033,033-841-058,2024,within,True
034-241-002,034-241-007,2024,within,True
035-283-018,035-283-038,2024,within,True
035-283-022,035-283-037,2024,within,True
035-291-005,035-291-013,2024,within,True
036-423-018,036-423-020,2024,within,True
036-563-014,036-563-016,2024,within,True
080-082-018,080-082-023,2024,within,True
080-162-017,080-162-018,2024,within,True
080-173-013,080-173-014,2024,within,True
080-192-033,080-192-034,2024,within,True
083-032-031,083-032-040,2024,within,True
083-032-032,083-032-039,2024,within,True
083-033-014,083-033-016,2024,within,True
083-061-026,083-061-082,2024,within,True
083-062-038,083-062-051,2024,within,True
083-063-007,083-063-023,2024,within,True
083-074-003,083-074-019,2024,within,True
083-201-002,083-201-005,2024,within,True
083-202-012,083-202-018,2024,within,True
083-390-023,083-390-050,2024,within,True
084-052-010,084-052-013,2024,within,True
084-092-009,084-092-042,2024,within,True
084-092-016,084-092-043,2024,within,True
084-110-011,084-110-026,2024,within,True
084-110-014,084-110-020,2024,within,True
084-110-017,084-110-027,2024,within,True
084-172-005,084-172-007,2024,within,True
084-191-001,084-191-003,2024,within,True
084-211-004,084-211-007,2024,within,True
085-343-024,085-343-026,2024,within,True
090-030-035,090-173-016,2024,within,True
090-030-044,090-030-046,2024,within,True
090-055-012,090-055-038,2024,within,True
090-071-034,090-071-038,2024,within,True
090-073-019,090-073-021,2024,within,True
090-074-012,090-074-028,2024,within,True
090-102-010,090-102-044,2024,within,True
090-124-018,090-124-046,2024,within,True
090-134-046,090-134-058,2024,within,True
090-162-016,090-162-045,2024,within,True
090-191-022,090-191-053,2024,within,True
090-191-023,090-191-053,2024,within,True
090-201-008,090-201-034,2024,within,True
090-222-060,090-222-061,2024,within,True
090-225-002,090-225-018,2024,within,True
090-231-036,090-231-052,2024,within,True
090-232-026,090-232-034,2024,within,True
090-261-019,090-261-035,2024,within,True
090-262-013,090-262-015,2024,within,True
090-271-015,090-262-016,2024,within,True
090-292-003,090-292-013,2024,within,True
092-100-016,092-100-030,2024,within,True
092-120-007,092-120-058,2024,within,True
092-120-042,092-120-057,2024,within,True
092-142-010,092-142-028,2024,within,True
092-142-020,092-142-029,2024,within,True
092-152-015,092-152-038,2024,within,True
092-154-009,092-154-050,2024,within,True
092-190-052,092-190-067,2024,within,True
092-190-053,092-190-068,2024,within,True
092-200-009,092-200-033,2024,within,True
092-200-022,092-200-032,2024,within,True
092-234-012,092-234-024,2024,within,True
093-034-004,093-034-010,2024,within,True
093-042-021,093-042-043,2024,within,True
093-042-022,093-042-044,2024,within,True
093-083-008,093-083-045,2024,within,True
093-083-009,093-083-046,2024,within,True
093-083-010,093-083-047,2024,within,True
093-083-011,093-083-048,2024,within,True
093-083-012,093-083-051,2024,within,True
093-083-014,093-083-050,2024,within,True
093-083-015,093-083-044,2024,within,True
