old_apn,new_apn,change_year,overlap_pct,change_type,is_primary,source
003-080-27,1418-27-210-006,,,,1,LTINFO
003-080-29,1418-27-210-012,,,,1,LTINFO
003-080-32,1418-27-210-010,,,,1,LTINFO
003-080-33,1418-27-210-011,,,,1,LTINFO
003-080-36,1418-27-210-020,,,,1,LTINFO
003-080-37,1418-27-210-016,,,,1,LTINFO
003-090-04,1418-27-812-010,,,,1,LTINFO
003-100-08,1418-27-410-001,,,,1,LTINFO
003-111-07,1418-27-711-002,,,,1,LTINFO
003-112-08,1418-27-811-002,,,,1,LTINFO
003-112-19,1418-27-810-012,,,,1,LTINFO
003-112-21,1418-27-810-010,,,,1,LTINFO
003-112-22,1418-27-810-009,,,,1,LTINFO
003-121-04,1418-27-810-016,,,,1,LTINFO
003-125-02,1418-27-810-045,,,,1,LTINFO
003-125-04,1418-27-810-043,,,,1,LTINFO
003-126-08,1418-27-810-050,,,,1,LTINFO
003-127-02,1418-27-810-053,,,,1,LTINFO
003-141-01,1418-34-111-001,,,,1,LTINFO
003-141-02,1418-34-111-002,,,,1,LTINFO
003-150-01,1418-34-101-001,,,,1,LTINFO
003-150-02,1418-34-101-002,,,,1,LTINFO
003-150-03,1418-34-101-003,,,,1,LTINFO
003-161-01,003-161-15,,,,1,LTINFO
003-161-03,1418-34-110-003,,,,1,LTINFO
003-161-07,003-161-14,,,,1,LTINFO
003-161-09,003-161-13,,,,1,LTINFO
003-161-13,1418-34-110-008,,,,1,LTINFO
003-161-14,1418-34-110-009,,,,1,LTINFO
003-161-15,1418-34-110-001,,,,1,LTINFO
003-162-06,1418-34-110-020,,,,1,LTINFO
003-162-07,1418-34-110-016,,,,1,LTINFO
003-163-13,1418-34-110-035,,,,1,LTINFO
003-163-15,1418-34-110-034,,,,1,LTINFO
003-164-06,003-164-20,,,,1,LTINFO
003-164-13,003-164-21,,,,1,LTINFO
003-164-20,1418-34-110-025,,,,1,LTINFO
003-164-21,1418-34-110-026,,,,1,LTINFO
003-171-05,1418-34-211-005,,,,1,LTINFO
003-171-07,1418-34-112-001,,,,1,LTINFO
003-171-17,1418-34-211-008,,,,1,LTINFO
