"Pool","Development Right","Jurisdiction","Balance Remaining","# of Trans","Comments","Active?"
"Persons-at-one-time (PAOT) - Summer PAOT-Kings Beach Commercial Community Plan (029)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","730","0","","Yes"
"Persons-at-one-time (PAOT) - Summer PAOT-Round Hill Community Plan (071)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","25","0","","Yes"
"Persons-at-one-time (PAOT) - Tahoe Vista Community Plan (022)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","0","0","","Yes"
"Persons-at-one-time (PAOT) - Winter PAOT-Heavenly Valley California (087)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","745","0","","Yes"
"Persons-at-one-time (PAOT) - Winter PAOT-Heavenly Valley Nevada (086)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","120","1","The amount remaining as entered in 2014 already included the PAOTs for the North Bowl lift which was approved in 2007 but was not constructed although the PAOTs were deducted from the PAS PAOT pool. A permit for the North Bowl Lift with the same capacity and PAOTs as the 2007 permit was re-approved in 2022. Because the PAOTs were previously deducted, no PAOTs were allocated for the lift in 2022.","Yes"
"Persons-at-one-time (PAOT) - Winter PAOT-Homewood/Tahoe Ski Bowl (157)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","1,100","0","","Yes"
"Persons-at-one-time (PAOT) - Winter PAOT-Incline Ski (052)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","0","0","","Yes"
"Persons-at-one-time (PAOT) - Winter PAOT-North Star (015)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","1,000","0","","Yes"
"Persons-at-one-time (PAOT) - Winter PAOT-Upper Ward Valley (Alpine) (166)","Persons-at-one-time (PAOT)","Tahoe Regional Planning Agency (TRPA)","4,000","0","","Yes"
"Pier Allocation - Additional Private Piers in Douglas Co., NV","Pier Allocation","Tahoe Regional Planning Agency (TRPA)","0","10","Under the Shoreline Plan adopted by the TRPA Governing Board on October 24, 2018, TRPA may permit a maximum of 21 additional private piers in the Douglas/Carson quadrant per TRPA Code of Ordinances, section 84.4.4.D.  ","Yes"
