Row Labels,CY2012,CY2013,CY2014,CY2015,CY2016,CY2017,CY2018,CY2019,CY2020,CY2021,CY2022,CY2023,CY2024,CY2025
023-241-56,1887,1887,1887,1887,1887,1887,,,,,,,,
023-251-007,,,,,,,8368,8368,8368,8368,8368,8368,8368,8368
023-251-008,,,,,,,3021,3021,3021,3021,3021,3021,3021,3021
023-251-017,,,,,,,5403,5403,5403,5403,5403,5403,5403,5403
023-251-018,,,,,,,635,635,635,635,635,635,635,635
023-251-022,,,,,,,1897,1897,1897,1897,1897,1897,1897,1897
023-251-028,,,,,,,1309,1309,1309,1309,1309,1309,1309,1309
023-251-030,,,,,,,1376,1376,1376,1376,1376,1376,1376,1376
023-251-031,,,,,,,1129,1129,1129,1129,1129,1129,1129,1129
023-251-07,8368,8368,8368,8368,8368,8368,,,,,,,,
023-251-08,3021,3021,3021,3021,3021,3021,,,,,,,,
023-251-17,5403,5403,5403,5403,5403,5403,,,,,,,,
023-251-18,635,635,635,635,635,635,,,,,,,,
023-251-22,1897,1897,1897,1897,1897,1897,,,,,,,,
023-251-28,1309,1309,1309,1309,1309,1309,,,,,,,,
023-251-30,1376,1376,1376,1376,1376,1376,,,,,,,,
023-251-31,1129,1129,1129,1129,1129,1129,,,,,,,,
023-281-005,,,,,,,1917,1917,1917,1917,1917,1917,1917,1917
023-281-022,,,,,,,2638,2638,2638,2638,2638,2638,2638,2638
023-281-023,,,,,,,603,603,603,603,603,603,603,603
023-281-05,1917,1917,1917,1917,1917,1917,,,,,,,,
023-281-22,2638,2638,2638,2638,2638,2638,,,,,,,,
023-281-23,603,603,603,603,603,603,,,,,,,,
023-291-005,,,,,,,3548,3548,3548,3548,3548,3548,3548,3548
023-291-006,,,,,,,2499,2499,2499,2499,2499,2499,2499,2499
023-291-008,,,,,,,4730,4730,4730,4730,4730,4730,4730,4730
023-291-016,,,,,,,13634,13634,13634,13634,13634,13634,13634,13634
023-291-05,3548,3548,3548,3548,3548,3548,,,,,,,,
023-291-06,2499,2499,2499,2499,2499,2499,,,,,,,,
023-291-08,4730,4730,4730,4730,4730,4730,,,,,,,,
023-291-16,13634,13634,13634,13634,13634,13634,,,,,,,,
023-301-007,,,,,,,9088,9088,9088,9088,9088,9088,9088,9088
023-301-011,,,,,,,20285,20285,20285,20285,20285,20285,20285,20285
023-301-07,9088,9088,9088,9088,9088,9088,,,,,,,,
023-301-11,20285,20285,20285,20285,20285,20285,,,,,,,,
023-311-013,,,,,,,12886,12886,12886,12886,12886,12886,12886,12886
023-311-020,,,,,,,720,720,720,720,720,720,720,720
023-311-023,,,,,,,4415,4415,4415,4415,4415,4415,4415,4415
023-311-027,,,,,,,450,450,450,450,450,450,450,450
023-311-040,,,,,,,4277,4277,4277,4277,4277,4277,4277,4277
023-311-042,,,,,,,2561,2561,2561,2561,2561,2561,2561,2561
023-311-044,,,,,,,2884,2884,2884,2884,2884,2884,2884,2884
023-311-045,,,,,,,7568,7568,7568,7568,7568,7568,7568,7568
023-311-046,,,,,,,2133,2133,2133,2133,2133,2133,2133,2133
023-311-047,,,,,,,4766,4766,4766,4766,4766,4766,4766,4766
023-311-048,,,,,,,8330,8330,8330,8330,8330,8330,8330,8330
023-311-052,,,,,,,1748,1748,1748,1748,1748,1748,1748,1748
023-311-054,,,,,,,1551,1551,1551,1551,1551,1551,1551,1551
023-311-055,,,,,,,2004,2004,2004,2004,2004,2004,2004,2004
023-311-13,12886,12886,12886,12886,12886,12886,,,,,,,,
023-311-20,720,720,720,720,720,720,,,,,,,,
023-311-23,4415,4415,4415,4415,4415,4415,,,,,,,,
023-311-27,450,450,450,450,450,450,,,,,,,,
023-311-40,4277,4277,4277,4277,4277,4277,,,,,,,,
023-311-42,2561,2561,2561,2561,2561,2561,,,,,,,,
023-311-44,2884,2884,2884,2884,2884,2884,,,,,,,,
023-311-45,7568,7568,7568,7568,7568,7568,,,,,,,,
023-311-46,2133,2133,2133,2133,2133,2133,,,,,,,,
023-311-47,4766,4766,4766,4766,4766,4766,,,,,,,,
023-311-48,8330,8330,8330,8330,8330,8330,,,,,,,,
023-311-52,1748,1748,1748,1748,1748,1748,,,,,,,,
023-311-54,1551,1551,1551,1551,1551,1551,,,,,,,,
023-311-55,2004,2004,2004,2004,2004,2004,,,,,,,,
023-341-017,,,,,,,1211,1211,1211,1211,1211,1211,1211,1211
023-341-17,1211,1211,1211,1211,1211,1211,,,,,,,,
023-351-018,,,,,,,16950,16950,16950,16950,16950,16950,16950,16950
023-351-18,16950,16950,16950,16950,16950,16950,,,,,,,,
023-362-024,,,,,,,6675,6675,6675,6675,6675,6675,6675,6675
