APN,Year,Tourist_Units,CommercialFloorArea_SqFt
023-201-067,2019,0,3909.0
023-201-067,2020,0,3909.0
023-201-067,2021,0,3909.0
023-201-067,2022,0,3909.0
023-201-067,2023,0,3909.0
023-201-067,2024,0,3909.0
023-201-070,2018,0,2849.0
023-201-070,2019,0,2849.0
023-201-070,2020,0,2849.0
023-201-070,2021,0,2849.0
023-201-070,2022,0,2849.0
023-201-070,2023,0,2849.0
023-201-070,2024,0,2849.0
023-201-071,2018,0,3489.0
023-201-071,2019,0,3489.0
023-201-071,2020,0,3489.0
023-201-071,2021,0,3489.0
023-201-071,2022,0,3489.0
023-201-071,2023,0,3489.0
023-201-071,2024,0,3489.0
023-201-075,2018,0,73441.0
023-201-075,2019,0,73441.0
023-201-075,2020,0,73441.0
023-201-075,2021,0,73441.0
023-201-075,2022,0,73441.0
023-201-075,2023,0,73441.0
023-201-075,2024,0,73441.0
023-201-11,2012,0,24779.0
023-201-21,2012,0,16862.0
023-201-22,2012,0,2080.0
023-201-29,2012,0,14604.0
023-201-30,2012,0,9429.0
023-201-36,2012,0,2730.0
023-201-38,2012,0,2343.0
023-201-42,2012,0,3077.0
023-201-43,2012,0,953.0
023-201-44,2012,0,176.0
023-201-53,2012,0,10701.0
023-201-55,2012,0,2610.0
023-201-57,2012,0,5763.0
023-201-58,2012,0,7236.0
023-201-60,2012,0,3276.0
023-201-61,2012,0,1402.0
023-201-63,2012,0,290.0
023-201-67,2012,0,3909.0
023-201-70,2012,0,2849.0
023-201-71,2012,0,3489.0
023-201-75,2012,0,73441.0
023-211-001,2018,0,1230.0
023-211-001,2019,0,1230.0
023-211-001,2020,0,1230.0
023-211-001,2021,0,1230.0
023-211-001,2022,0,1230.0
023-211-001,2023,0,1230.0
023-211-001,2024,0,1230.0
023-211-003,2018,0,1940.0
023-211-003,2019,0,1940.0
023-211-003,2020,0,1940.0
023-211-003,2021,0,1940.0
023-211-003,2022,0,1940.0
023-211-003,2023,0,1940.0
023-211-003,2024,0,1940.0
023-211-005,2018,0,13302.0
023-211-005,2019,0,13302.0
023-211-005,2020,0,13302.0
023-211-005,2021,0,13302.0
023-211-005,2022,0,13302.0
023-211-005,2023,0,13302.0
023-211-005,2024,0,13302.0
023-211-01,2012,0,1230.0
023-211-019,2018,0,11722.0
023-211-019,2019,0,11722.0
023-211-019,2020,0,11722.0
023-211-019,2021,0,11722.0
023-211-019,2022,0,11722.0
023-211-019,2023,0,11722.0
023-211-019,2024,0,11722.0
023-211-021,2018,0,3258.0
023-211-021,2019,0,3258.0
023-211-021,2020,0,3258.0
023-211-021,2021,0,3258.0
023-211-021,2022,0,3258.0
023-211-021,2023,0,3258.0
023-211-021,2024,0,3258.0
023-211-022,2018,20,0.0
023-211-022,2019,20,0.0
023-211-022,2020,20,0.0
023-211-022,2021,20,0.0
023-211-022,2022,20,0.0
023-211-022,2023,20,0.0
